epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,231.092,0.92127,1.07814,1.01243,0.75653,0.91207,0.8691,0.65594,0.80752,1.3776,1.61759,0.000204769,0.000204769,0.000204769
72,234.059,0.45974,0.8553,0.99058,0.64,0.91641,0.8691,0.64709,0.7844,1.33614,1.27533,0.000198166,0.000198166,0.000198166
73,237.224,0.47838,0.9938,1.00888,0.64,0.91641,0.8691,0.64709,0.7844,1.33614,1.27533,0.000191562,0.000191562,0.000191562
74,240.153,0.55733,0.88706,1.07036,0.63804,0.86667,0.8471,0.64946,0.80063,1.27292,1.27858,0.000184959,0.000184959,0.000184959
75,243.081,0.40498,0.75973,1.00787,0.63804,0.86667,0.8471,0.64946,0.80063,1.27292,1.27858,0.000178356,0.000178356,0.000178356
76,246.129,0.47132,0.9273,1.00942,0.7394,0.89758,0.8691,0.66705,0.80806,1.17144,1.27439,0.000171752,0.000171752,0.000171752
77,249.051,0.47899,0.85853,1.13704,0.7394,0.89758,0.8691,0.66705,0.80806,1.17144,1.27439,0.000165149,0.000165149,0.000165149
78,252.226,0.70222,2.62703,0.97882,0.72807,0.90186,0.8691,0.68622,0.79455,1.12217,1.25666,0.000158546,0.000158546,0.000158546
79,255.013,0.52552,0.61125,1.08139,0.72807,0.90186,0.8691,0.68622,0.79455,1.12217,1.25666,0.000151943,0.000151943,0.000151943
80,257.827,0.58118,0.55913,1.27084,0.73116,0.90705,0.9686,0.75583,0.79188,1.10446,1.24588,0.000145339,0.000145339,0.000145339
81,260.7,0.33578,0.45757,1.02906,0.73116,0.90705,0.9686,0.75583,0.79188,1.10446,1.24588,0.000138736,0.000138736,0.000138736
82,263.506,0.721,1.04811,1.10345,0.73394,0.91904,0.9686,0.74236,0.77336,1.04662,1.23297,0.000132133,0.000132133,0.000132133
83,266.278,0.44639,0.79571,1.11824,0.73394,0.91904,0.9686,0.74236,0.77336,1.04662,1.23297,0.000125529,0.000125529,0.000125529
84,269.144,0.46704,0.77153,1.14491,0.73375,0.93333,0.9785,0.77111,0.77266,1.01233,1.23288,0.000118926,0.000118926,0.000118926
85,272.016,0.35831,0.54766,0.99042,0.73375,0.93333,0.9785,0.77111,0.77266,1.01233,1.23288,0.000112323,0.000112323,0.000112323
86,274.758,0.65085,0.88137,0.99292,0.73662,0.95422,0.995,0.76947,0.77231,0.97866,1.23052,0.00010572,0.00010572,0.00010572
87,277.554,0.41083,0.54302,1.07445,0.73662,0.95422,0.995,0.76947,0.77231,0.97866,1.23052,9.91162e-05,9.91162e-05,9.91162e-05
88,280.373,0.40737,0.65351,0.99758,0.74322,0.95797,0.995,0.78948,0.76039,0.93978,1.21994,9.25129e-05,9.25129e-05,9.25129e-05
89,283.196,0.40331,0.90067,1.0462,0.74322,0.95797,0.995,0.78948,0.76039,0.93978,1.21994,8.59096e-05,8.59096e-05,8.59096e-05
90,285.959,0.35245,0.75575,1.00864,0.75634,0.96346,0.995,0.78966,0.75597,0.92834,1.21307,7.93063e-05,7.93063e-05,7.93063e-05
91,289.251,0.36536,0.64934,0.94243,0.75634,0.96346,0.995,0.78966,0.75597,0.92834,1.21307,7.2703e-05,7.2703e-05,7.2703e-05
92,292.624,0.36255,0.60574,1.03481,0.78245,0.96245,0.995,0.78953,0.75974,0.93976,1.20776,6.60997e-05,6.60997e-05,6.60997e-05
93,295.778,0.35411,0.59794,1.0052,0.78245,0.96245,0.995,0.78953,0.75974,0.93976,1.20776,5.94964e-05,5.94964e-05,5.94964e-05
94,298.649,0.27929,0.59256,0.93096,0.79648,0.96133,0.995,0.78959,0.75259,0.95187,1.20148,5.28931e-05,5.28931e-05,5.28931e-05
95,301.441,0.42153,0.51851,0.99935,0.79648,0.96133,0.995,0.78959,0.75259,0.95187,1.20148,4.62898e-05,4.62898e-05,4.62898e-05
96,304.182,0.54482,0.65125,1.0015,0.75988,0.96622,0.995,0.78963,0.75543,0.93825,1.20244,3.96865e-05,3.96865e-05,3.96865e-05
97,306.969,0.2603,0.64633,0.81772,0.75988,0.96622,0.995,0.78963,0.75543,0.93825,1.20244,3.30832e-05,3.30832e-05,3.30832e-05
98,309.81,0.2753,0.53174,0.86086,0.72575,0.96677,0.8955,0.71993,0.74947,0.95859,1.19884,2.64799e-05,2.64799e-05,2.64799e-05
99,312.6,0.31528,0.68017,0.90972,0.72575,0.96677,0.8955,0.71993,0.74947,0.95859,1.19884,1.98766e-05,1.98766e-05,1.98766e-05
100,315.447,0.26613,0.58251,0.92183,0.72129,0.96981,0.995,0.80951,0.74859,0.94779,1.20164,1.32733e-05,1.32733e-05,1.32733e-05
